Nº,User,Tipo de perfil,Concatenar Instagram Link,Categoria,Fonte,Status
72,olhaoapedeles,Pessoal,https://www.instagram.com/olhaoapedeles,Arquitetura e Decoração,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
73,puraarquiteturabh,Pessoal,https://www.instagram.com/puraarquiteturabh,Arquitetura e Decoração,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
74,gabrielcamargo_102,Pessoal,https://www.instagram.com/gabrielcamargo_102,Automobilismo,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
75,grandepremio,Pessoal,https://www.instagram.com/grandepremio,Automobilismo,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
76,projetomotor,Pessoal,https://www.instagram.com/projetomotor,Automobilismo,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
77,gessinadine,Pessoal,https://www.instagram.com/gessinadine,Cabelos,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
78,lairistrindade,Pessoal,https://www.instagram.com/lairistrindade,Cabelos,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
79,euthalitacruz,Pessoal,https://www.instagram.com/euthalitacruz,Cabelos,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
80,ana.passaretti,Pessoal,https://www.instagram.com/ana.passaretti,Maquiagem,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
81,franduartemakeup,Pessoal,https://www.instagram.com/franduartemakeup,Maquiagem,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
82,isabelapiierre,Pessoal,https://www.instagram.com/isabelapiierre,Maquiagem,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
83,heygabsf,Pessoal,https://www.instagram.com/heygabsf,Body Positive,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
84,patiavelinoo,Pessoal,https://www.instagram.com/patiavelinoo,Body Positive,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
85,medibulandia,Pessoal,https://www.instagram.com/medibulandia,Educação,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
86,byliarahorie,Pessoal,https://www.instagram.com/byliarahorie,Educação,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
87,polianabragab,Pessoal,https://www.instagram.com/polianabragab,Educação,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
88,tasobrandodinheiro,Pessoal,https://www.instagram.com/tasobrandodinheiro,Finanças,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
89,granapretaoficial,Pessoal,https://www.instagram.com/granapretaoficial,Finanças,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
90,jessicacastrosc,Pessoal,https://www.instagram.com/jessicacastrosc,Finanças,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
91,_ogabrielbarbosa,Pessoal,https://www.instagram.com/_ogabrielbarbosa,Empreendedorismo,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
92,brendascalco,Pessoal,https://www.instagram.com/brendascalco,Empreendedorismo,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
93,franlima.me,Pessoal,https://www.instagram.com/franlima.me,Empreendedorismo,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
94,dicadadoca,Pessoal,https://www.instagram.com/dicadadoca,Entretenimento,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
95,nataliakreuser,Pessoal,https://www.instagram.com/nataliakreuser,Entretenimento,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
96,tabathalacerda,Pessoal,https://www.instagram.com/tabathalacerda,Entretenimento,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
97,alice_yuri_,Pessoal,https://www.instagram.com/alice_yuri_,Esportes,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
98,doisporcento,Pessoal,https://www.instagram.com/doisporcento,Esportes,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
99,basquetepravida,Pessoal,https://www.instagram.com/basquetepravida,Esportes,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
100,familiapessoatardivo,Pessoal,https://www.instagram.com/familiapessoatardivo,Família,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
101,clariceeantonella,Pessoal,https://www.instagram.com/clariceeantonella,Maternidade,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
102,caroolfigueiras,Pessoal,https://www.instagram.com/caroolfigueiras,Fitness,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
103,francampos92,Pessoal,https://www.instagram.com/francampos92,Fitness,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
104,kakaufarias_,Pessoal,https://www.instagram.com/kakaufarias_,Fitness,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
105,arnaldodk,Pessoal,https://www.instagram.com/arnaldodk,Games,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
106,_carolmcosta,Pessoal,https://www.instagram.com/_carolmcosta,Games,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
107,fazendo_nerdice,Pessoal,https://www.instagram.com/fazendo_nerdice,Games,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
108,cidinha_santiago,Pessoal,https://www.instagram.com/cidinha_santiago,Gastronomia,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
109,daysepaparoto_oficial,Pessoal,https://www.instagram.com/daysepaparoto_oficial,Gastronomia,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
110,uiararaujo,Pessoal,https://www.instagram.com/uiararaujo,Gastronomia,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
111,canalgaynerd,Pessoal,https://www.instagram.com/canalgaynerd,LGBTQIA+,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
112,jonasmariaa,Pessoal,https://www.instagram.com/jonasmariaa,LGBTQIA+,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
113,wanessawolf,Pessoal,https://www.instagram.com/wanessawolf,LGBTQIA+,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
114,beatrizpaludetto,Pessoal,https://www.instagram.com/beatrizpaludetto,Literatura,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
115,brunamartiolli,Pessoal,https://www.instagram.com/brunamartiolli,Literatura,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
116,lupazos,Pessoal,https://www.instagram.com/lupazos,Literatura,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
117,plantacao.de.lavanda,Pessoal,https://www.instagram.com/plantacao.de.lavanda,Meio ambiente e sustentabilidade,https://portaldacomunicacao.com.br/2023/02/5o-premio-microinfluenciadores-digitais-confira-os-vencedores/,Aguardando extração
